 format: day,hour,value location:60_127 Start : 20230101 
 13, 0022, 7.600000 
 13, 0023, 7.800000 
 14, 0000, 7.900000 
 14, 0001, 7.900000 
 14, 0002, 8.000000 
 14, 0003, 7.900000 
 14, 0004, 7.500000 
 14, 0005, 7.100000 
 14, 0006, 6.700000 
 14, 0007, 6.200000 
 14, 0008, 5.700000 
 14, 0009, 5.200000 
 14, 0010, 5.000000 
 14, 0011, 4.600000 
 14, 0012, 4.200000 
 14, 0013, 3.900000 
 14, 0014, 3.800000 
 14, 0015, 3.500000 
 14, 0016, 3.200000 
 14, 0017, 3.000000 
 14, 0018, 2.900000 
 14, 0019, 2.800000 
 14, 0020, 2.600000 
 14, 0021, 1.900000 
 14, 0022, 1.300000 
 14, 0023, 0.700000 
 15, 0000, 0.300000 
 15, 0001, 0.200000 
 15, 0002, 0.100000 
 15, 0003, -0.200000 
 15, 0004, -0.400000 
 15, 0005, -0.700000 
 15, 0006, -1.100000 
 15, 0007, -1.300000 
 15, 0008, -1.500000 
 15, 0009, -1.800000 
 15, 0010, -2.000000 
 15, 0011, -2.400000 
 15, 0012, -3.000000 
 15, 0013, -3.200000 
 15, 0014, -3.400000 
 15, 0015, -3.500000 
 15, 0016, -3.800000 
 15, 0017, -4.000000 
 15, 0018, -4.200000 
 15, 0019, -4.600000 
 15, 0020, -5.000000 
 15, 0021, -5.400000 
 15, 0022, -6.400000 
 15, 0023, -6.600000 
 16, 0000, -5.400000 
 16, 0001, -4.500000 
 16, 0002, -3.400000 
 16, 0003, -2.300000 
 16, 0004, -1.800000 
 16, 0005, -1.400000 
 16, 0006, -1.400000 
 16, 0007, -2.800000 
 16, 0008, -3.900000 
 16, 0009, -4.500000 
 16, 0010, -5.100000 
 16, 0011, -5.500000 
 16, 0012, -5.300000 
 16, 0013, -5.700000 
 16, 0014, -6.200000 
 16, 0015, -6.100000 
 16, 0016, -6.600000 
 16, 0017, -6.900000 
 16, 0018, -6.400000 
 16, 0019, -6.500000 
 16, 0020, -6.700000 
 16, 0021, -6.600000 
 16, 0022, -6.700000 
 16, 0023, -6.000000 
 17, 0000, -4.400000 
 17, 0001, -3.500000 
 17, 0002, -2.600000 
 17, 0003, -1.300000 
 17, 0004, -0.600000 
 17, 0005, -1.200000 
 17, 0006, -1.000000 
 17, 0007, -1.000000 
 17, 0008, -1.200000 
 17, 0009, -1.200000 
 17, 0010, -1.300000 
 17, 0011, -1.500000 
 17, 0012, -2.100000 
 17, 0013, -2.300000 
 17, 0014, -2.400000 
 17, 0015, -2.600000 
 17, 0016, -2.300000 
 17, 0017, -2.400000 
 17, 0018, -3.000000 
 17, 0019, -3.700000 
 17, 0020, -3.700000 
 17, 0021, -4.200000 
 17, 0022, -4.500000 
 17, 0023, -3.900000 
 18, 0000, -1.700000 
 18, 0001, -0.200000 
 18, 0002, 0.000000 
 18, 0003, 0.800000 
 18, 0004, 1.300000 
 18, 0005, 1.900000 
 18, 0006, 1.600000 
 18, 0007, 0.300000 
 18, 0008, -0.700000 
 18, 0009, -1.500000 
 18, 0010, -1.500000 
 18, 0011, -2.500000 
 18, 0012, -3.100000 
 18, 0013, -3.500000 
 18, 0014, -3.900000 
 18, 0015, -4.100000 
 18, 0016, -4.600000 
 18, 0017, -4.800000 
 18, 0018, -5.300000 
 18, 0019, -5.600000 
 18, 0020, -5.800000 
 18, 0021, -5.600000 
 18, 0022, -5.000000 
 18, 0023, -3.200000 
 19, 0000, -2.000000 
 19, 0001, -0.700000 
 19, 0002, 0.600000 
 19, 0003, 3.300000 
 19, 0004, 4.200000 
 19, 0005, 3.900000 
 19, 0006, 4.100000 
 19, 0007, 3.800000 
 19, 0008, 3.500000 
 19, 0009, 3.400000 
 19, 0010, 2.800000 
 19, 0011, 2.500000 
 19, 0012, 2.800000 
 19, 0013, 2.600000 
 19, 0014, 1.600000 
 19, 0015, 1.400000 
 19, 0016, 1.900000 
 19, 0017, 1.600000 
 19, 0018, 1.100000 
 19, 0019, 0.700000 
 19, 0020, -0.400000 
 19, 0021, -1.600000 
 19, 0022, -2.500000 
 19, 0023, -3.900000 
 20, 0000, -3.800000 
 20, 0001, -3.700000 
 20, 0002, -3.200000 
 20, 0003, -3.000000 
 20, 0004, -2.500000 
 20, 0005, -2.200000 
 20, 0006, -1.900000 
 20, 0007, -3.500000 
 20, 0008, -4.400000 
 20, 0009, -5.000000 
 20, 0010, -5.600000 
 20, 0011, -6.100000 
 20, 0012, -6.600000 
 20, 0013, -7.300000 
 20, 0014, -7.700000 
 20, 0015, -8.300000 
